parameter,mean,median,sd,lower,upper,truth,bias,rmse,coverage,width,regime,replicate,start
beta,0.2960553932821379,0.28640348011215727,0.06766641652178473,0.19453464114911606,0.437718189157684,0.3,-0.003944606717862065,0.003944606717862065,TRUE,0.24318354800856795,High,1,low
c,0.9496753120123342,0.9502041618106876,0.005929228825338187,0.9375881198357034,0.9610873721679872,0.95,-3.2468798766571716e-4,3.2468798766571716e-4,TRUE,0.023499252332283782,High,1,low
eta_EE,0.07634267178739808,0.0750276877745891,0.01641965060103579,0.048668228566563915,0.11375673385875407,0.08,-0.0036573282126019235,0.0036573282126019235,TRUE,0.06508850529219015,High,1,low
eta_EI,0.07552053698890762,0.07542578758712185,0.014506899435088712,0.050366331601501044,0.10327934181559653,0.08,-0.00447946301109238,0.00447946301109238,TRUE,0.05291301021409549,High,1,low
eta_ER,0.07460331738583262,0.07355627672729581,0.013782142300399423,0.048156126206699214,0.10012692886827532,0.08,-0.0053966826141673835,0.0053966826141673835,TRUE,0.0519708026615761,High,1,low
eta_II,0.07551195136762828,0.0738412811829109,0.012449388238232207,0.055502881235687765,0.10422250944014108,0.04,0.03551195136762828,0.03551195136762828,FALSE,0.048719628204453316,High,1,low
eta_IR,0.07642492831649537,0.07600172665419411,0.013054138385597913,0.05429075675397535,0.10496714455910161,0.08,-0.003575071683504627,0.003575071683504627,TRUE,0.05067638780512626,High,1,low
eta_RR,0.078589355397594,0.07738386949662635,0.01448248973647696,0.053955812576113114,0.10755992586975249,0.08,-0.0014106446024060026,0.0014106446024060026,TRUE,0.05360411329363938,High,1,low
eta_SE,0.07528358525422761,0.07462777272822377,0.012267071882961058,0.05488008327263473,0.10238474507141214,0.08,-0.00471641474577239,0.00471641474577239,TRUE,0.04750466179877741,High,1,low
eta_SI,0.076462750249577,0.07464715851751334,0.013459451679878836,0.050219816970869434,0.10260687459949745,0.05,0.02646275024957699,0.02646275024957699,FALSE,0.05238705762862802,High,1,low
eta_SR,0.0736610459762398,0.07412069810849437,0.012242841890604398,0.05193499001514657,0.09727352831754311,0.08,-0.006338954023760196,0.006338954023760196,TRUE,0.04533853830239654,High,1,low
eta_SS,0.0784652400957747,0.07790390719279067,0.014669613621521029,0.051245399547079934,0.10840422214005792,0.08,-0.0015347599042253024,0.0015347599042253024,TRUE,0.057158822592977984,High,1,low
gamma,0.25979810085695787,0.2572377235504895,0.0498999670085597,0.16352100245078632,0.36276923537624556,0.25,0.00979810085695787,0.00979810085695787,TRUE,0.19924823292545923,High,1,low
kappa,0.4397126422688061,0.4218013980671346,0.0889189735766853,0.30181114931343817,0.6242528922009127,0.4,0.03971264226880605,0.03971264226880605,TRUE,0.32244174288747457,High,1,low
p_E,0.5867750563667983,0.5846497469834688,0.03271540820606467,0.5274951047427316,0.6483470974103261,0.6,-0.013224943633201702,0.013224943633201702,TRUE,0.1208519926675945,High,1,low
p_I,0.8361233258748486,0.8386331732822978,0.030950004171347193,0.7668607552166509,0.8886617536198343,0.85,-0.013876674125151367,0.013876674125151367,TRUE,0.12180099840318348,High,1,low
s,0.898529309017339,0.8993883460451269,0.010500485731171924,0.8779172496219186,0.9193651060651111,0.9,-0.0014706909826610604,0.0014706909826610604,TRUE,0.04144785644319249,High,1,low
tau_EE,0.07645450914515503,0.07487997708990557,0.014783529058263748,0.04976721693099096,0.10826413391419548,0.03,0.04645450914515503,0.04645450914515503,FALSE,0.05849691698320452,High,1,low
tau_EI,0.07307347836542387,0.07161888933888545,0.012090030112603994,0.04952338319555839,0.09710835737521231,0.03,0.04307347836542387,0.04307347836542387,FALSE,0.04758497417965392,High,1,low
tau_ER,0.07542207960831862,0.07416002386543832,0.012558383460387887,0.05154521651073594,0.09919201274708192,0.03,0.04542207960831862,0.04542207960831862,FALSE,0.04764679623634598,High,1,low
tau_II,0.07352830695301076,0.0738833500410577,0.013305098801567434,0.05027027541457425,0.10103182105955108,0.07,0.0035283069530107486,0.0035283069530107486,TRUE,0.05076154564497683,High,1,low
